games_idx,Date,Visiting Team,Visiting League,Home Team,Home League,Visiting Score,Home Score,V Start Pitcher ID,H Start Pitcher ID,Home Winner,V NetRuns,H NetRuns,V Runs Allowed,H Runs Allowed,Home Wins?,Prediction Correct?
5712,20120607,LAN,NL,PHI,NL,8,3,haraa001,hamec001,False,5,-5,4.0,2.8,True,False
5713,20120607,SFN,NL,SDN,NL,8,3,cainm001,marqj001,False,5,-5,4.8,4.8,True,False
5714,20120607,NYN,NL,WAS,NL,3,1,dickr001,wangc001,False,2,-2,5.0,3.8,True,False
5715,20120608,PHI,NL,BAL,AL,9,6,blanj001,arrij001,False,3,-3,5.0,7.2,False,True
5716,20120608,WAS,NL,BOS,AL,7,4,stras001,doubf001,False,3,-3,2.2,5.8,False,True
5717,20120608,HOU,NL,CHA,AL,8,3,rodrw002,floyg001,False,5,-5,3.8,5.2,False,True
5718,20120608,CHN,NL,MIN,AL,7,8,woodt004,waltp001,True,-1,1,2.6,999.0,False,False
5719,20120608,NYN,NL,NYA,AL,1,9,santj003,kuroh001,True,-8,8,5.4,3.0,True,True
5720,20120608,LAN,NL,SEA,AL,0,1,eovan001,millk004,True,-1,1,2.2,6.6,False,False
5721,20120608,OAK,AL,ARI,NL,8,9,milot001,hudsd001,True,-1,1,4.8,3.6,True,True
5722,20120608,TOR,AL,ATL,NL,3,4,drabk001,beacb001,True,-1,1,6.0,4.4,True,True
5723,20120608,DET,AL,CIN,NL,5,6,porcr001,latom001,True,-1,1,5.2,3.4,True,True
5724,20120608,ANA,AL,COL,NL,7,2,wilsc004,whita001,False,5,-5,3.4,5.6,False,True
5725,20120608,TBA,AL,MIA,NL,5,1,hellj001,nolar001,False,4,-4,5.6,5.0,True,False
5726,20120608,SDN,NL,MIL,NL,5,9,volqe001,marcs001,True,-4,4,3.0,4.0,False,False
5727,20120608,KCA,AL,PIT,NL,2,4,hochl001,bedae001,True,-2,2,3.2,3.2,True,True
5728,20120608,TEX,AL,SFN,NL,5,0,harrm001,zitob001,False,5,-5,4.4,2.8,True,False
5729,20120608,CLE,AL,SLN,NL,6,2,tomlj001,westj001,False,4,-4,3.8,5.2,False,True
5730,20120609,PHI,NL,BAL,AL,4,6,worlv001,huntt002,True,-2,2,4.0,4.0,True,True
5731,20120609,WAS,NL,BOS,AL,4,2,gonzg003,matsd001,False,2,-2,1.8,6.8,False,True
5732,20120609,HOU,NL,CHA,AL,1,10,lylej001,salec001,True,-9,9,7.0,2.8,True,True
5733,20120609,CHN,NL,MIN,AL,3,11,samaj001,diams001,True,-8,8,3.2,3.8,False,False
5734,20120609,NYN,NL,NYA,AL,2,4,gee-d001,hughp001,True,-2,2,4.4,4.8,False,False
5735,20120609,LAN,NL,SEA,AL,8,3,kersc001,vargj001,False,5,-5,3.4,2.0,True,False
5736,20120609,OAK,AL,ARI,NL,3,8,parkj001,cahit001,True,-5,5,999.0,6.4,True,True
5737,20120609,TOR,AL,ATL,NL,2,5,hutcd001,hanst001,True,-3,3,4.6,6.2,False,False
5738,20120609,DET,AL,CIN,NL,3,2,verlj001,arrob001,False,1,-1,4.0,3.4,True,False
5739,20120609,ANA,AL,COL,NL,11,5,hared001,franj003,False,6,-6,3.8,5.2,False,True
5740,20120609,TBA,AL,MIA,NL,13,4,moorm003,zambc001,False,9,-9,999.0,5.0,True,False
5741,20120609,SDN,NL,MIL,NL,5,2,casha001,fierm001,False,3,-3,999.0,999.0,True,False
5742,20120609,KCA,AL,PIT,NL,3,5,mazzv001,mcdoj004,True,-2,2,4.2,1.8,True,True
5743,20120609,TEX,AL,SFN,NL,2,5,felds001,voger001,True,-3,3,7.2,1.6,True,True
5744,20120609,CLE,AL,SLN,NL,0,2,mastj001,lohsk001,True,-2,2,7.0,3.2,True,True
5745,20120610,PHI,NL,BAL,AL,4,5,lee-c003,hammj002,True,-1,1,2.8,2.8,True,True
5746,20120610,WAS,NL,BOS,AL,4,3,zimmj003,lestj001,False,1,-1,2.8,5.2,False,True
