,Season,Lookback,Num Games,Num Correct,% Correct,Timestamp,Run Duration,Comment
0,2012,10,2430,1508,62.05761316872428,2020-01-07 15:13:26.308236,0 days 00:00:56.792695000,"npp, excl. day before=False, FLO fix included."
1,2012,10,2430,1237,50.90534979423869,2020-01-07 15:14:23.104933,0 days 00:00:53.305072000,"npp, excl. day before=True, FLO fix included."
2,2013,10,2431,1518,62.44343891402715,2020-01-07 15:15:16.413525,0 days 00:00:53.898323000,"npp, excl. day before=False, FLO fix included."
3,2013,10,2431,1227,50.4730563554093,2020-01-07 15:16:10.315464,0 days 00:00:53.446352000,"npp, excl. day before=True, FLO fix included."
4,2014,10,2430,1520,62.55144032921811,2020-01-07 15:17:03.765236,0 days 00:00:53.120440000,"npp, excl. day before=False, FLO fix included."
5,2014,10,2430,1255,51.64609053497943,2020-01-07 15:17:56.889791,0 days 00:00:53.360083000,"npp, excl. day before=True, FLO fix included."
6,2015,10,2429,1521,62.61836146562372,2020-01-07 15:18:50.253699,0 days 00:00:53.527579000,"npp, excl. day before=False, FLO fix included."
7,2015,10,2429,1231,50.67929188966653,2020-01-07 15:19:43.784552,0 days 00:00:52.865448000,"npp, excl. day before=True, FLO fix included."
8,2016,10,2428,1528,62.932454695222404,2020-01-07 15:20:36.653761,0 days 00:00:52.387391000,"npp, excl. day before=False, FLO fix included."
9,2016,10,2428,1243,51.19439868204283,2020-01-07 15:21:29.044510,0 days 00:00:52.612562000,"npp, excl. day before=True, FLO fix included."
10,2017,10,2430,1550,63.78600823045267,2020-01-07 15:22:21.660597,0 days 00:00:52.831886000,"npp, excl. day before=False, FLO fix included."
11,2017,10,2430,1264,52.016460905349795,2020-01-07 15:23:14.497786,0 days 00:00:53.827770000,"npp, excl. day before=True, FLO fix included."
