,Season,Lookback,Net,Num Games,Num Correct,% Correct,Comment,Home Predict %,Home Win %,Predictor
0,0,1,False,19437,10088,51.90101353089469,All Seasons,56.70113700673972,53.70170293769615,Net or Raw Points (see Net)
1,2010,1,False,2430,1244,51.193415637860085,All Seasons,58.2716049382716,55.884773662551446,Pitcher
2,2011,1,False,2429,1232,50.720461095100866,All Seasons,55.61959654178674,52.53190613421162,Pitcher
3,2012,1,False,2430,1248,51.358024691358025,All Seasons,56.090534979423865,53.29218106995884,Pitcher
4,2013,1,False,2431,1287,52.94117647058824,All Seasons,55.32702591526121,53.763883175647884,Pitcher
5,2014,1,False,2430,1268,52.181069958847736,All Seasons,57.36625514403292,53.00411522633745,Pitcher
6,2015,1,False,2429,1264,52.03787566899959,All Seasons,58.58377933305887,54.17867435158501,Pitcher
7,2016,1,False,2428,1263,52.018121911037895,All Seasons,56.01317957166392,53.006589785831956,Pitcher
8,2017,1,False,2430,1282,52.757201646090536,All Seasons,56.337448559670776,53.95061728395062,Pitcher
9,0,2,False,19437,10134,52.137675567217165,All Seasons,55.816226783968716,53.70170293769615,Net or Raw Points (see Net)
10,2010,2,False,2430,1259,51.81069958847737,All Seasons,61.52263374485597,55.884773662551446,Pitcher
11,2011,2,False,2429,1233,50.7616303005352,All Seasons,54.26101276245369,52.53190613421162,Pitcher
12,2012,2,False,2430,1266,52.09876543209877,All Seasons,53.86831275720164,53.29218106995884,Pitcher
13,2013,2,False,2431,1267,52.11846976552859,All Seasons,54.99794323323736,53.763883175647884,Pitcher
14,2014,2,False,2430,1285,52.88065843621399,All Seasons,54.8559670781893,53.00411522633745,Pitcher
15,2015,2,False,2429,1251,51.50267599835323,All Seasons,57.47221078633182,54.17867435158501,Pitcher
16,2016,2,False,2428,1286,52.96540362438221,All Seasons,53.99505766062603,53.006589785831956,Pitcher
17,2017,2,False,2430,1287,52.96296296296297,All Seasons,55.55555555555556,53.95061728395062,Pitcher
18,0,5,False,19437,10192,52.436075526058545,All Seasons,56.083757781550645,53.70170293769615,Net or Raw Points (see Net)
19,2010,5,False,2430,1270,52.2633744855967,All Seasons,69.30041152263374,55.884773662551446,Pitcher
20,2011,5,False,2429,1264,52.03787566899959,All Seasons,53.06710580485796,52.53190613421162,Pitcher
21,2012,5,False,2430,1263,51.9753086419753,All Seasons,53.991769547325106,53.29218106995884,Pitcher
22,2013,5,False,2431,1286,52.90004113533525,All Seasons,53.80501851090086,53.763883175647884,Pitcher
23,2014,5,False,2430,1281,52.716049382716044,All Seasons,53.37448559670782,53.00411522633745,Pitcher
24,2015,5,False,2429,1243,51.17332235487855,All Seasons,56.23713462330176,54.17867435158501,Pitcher
25,2016,5,False,2428,1315,54.15980230642504,All Seasons,53.45963756177924,53.006589785831956,Pitcher
26,2017,5,False,2430,1270,52.2633744855967,All Seasons,55.4320987654321,53.95061728395062,Pitcher
27,0,10,False,19437,10354,53.2695374800638,All Seasons,59.31470906004013,53.70170293769615,Net or Raw Points (see Net)
28,2010,10,False,2430,1331,54.773662551440324,All Seasons,83.7448559670782,55.884773662551446,Pitcher
29,2011,10,False,2429,1250,51.4615067929189,All Seasons,55.70193495265542,52.53190613421162,Pitcher
30,2012,10,False,2430,1285,52.88065843621399,All Seasons,54.89711934156378,53.29218106995884,Pitcher
31,2013,10,False,2431,1266,52.0773344302756,All Seasons,55.53270259152612,53.763883175647884,Pitcher
32,2014,10,False,2430,1321,54.36213991769547,All Seasons,54.032921810699584,53.00411522633745,Pitcher
33,2015,10,False,2429,1274,52.44956772334294,All Seasons,57.760395224372175,54.17867435158501,Pitcher
34,2016,10,False,2428,1343,55.31301482701812,All Seasons,55.51894563426688,53.006589785831956,Pitcher
35,2017,10,False,2430,1284,52.8395061728395,All Seasons,57.32510288065844,53.95061728395062,Pitcher
36,0,20,False,19437,10420,53.60909605391778,All Seasons,65.5193702731903,53.70170293769615,Net or Raw Points (see Net)
37,2010,20,False,2430,1358,55.884773662551446,All Seasons,100.0,55.884773662551446,Pitcher
38,2011,20,False,2429,1301,53.56113627006999,All Seasons,70.97571016879374,52.53190613421162,Pitcher
39,2012,20,False,2430,1315,54.11522633744856,All Seasons,60.16460905349794,53.29218106995884,Pitcher
40,2013,20,False,2431,1241,51.048951048951054,All Seasons,59.934183463595225,53.763883175647884,Pitcher
41,2014,20,False,2430,1310,53.90946502057613,All Seasons,57.28395061728395,53.00411522633745,Pitcher
42,2015,20,False,2429,1283,52.82009057225196,All Seasons,58.3779333058872,54.17867435158501,Pitcher
43,2016,20,False,2428,1335,54.9835255354201,All Seasons,58.319604612850085,53.006589785831956,Pitcher
44,2017,20,False,2430,1277,52.5514403292181,All Seasons,59.09465020576131,53.95061728395062,Pitcher
