,Season,Lookback,Num Games,Num Correct,% Correct,Timestamp,Run Duration,Comment
0,2016,20,2428,1281,52.75947281713344,2020-01-06 23:53:28.836089,0 days 00:00:12.526508000,"H2H, prioritize net runs over wins, FLO fix included."
1,2017,20,2430,1256,51.68724279835391,2020-01-06 23:53:41.366158,0 days 00:00:12.308227000,"H2H, prioritize net runs over wins, FLO fix included."
2,2016,200,2428,1268,52.22405271828665,2020-01-06 23:53:53.678286,0 days 00:00:13.134847000,"H2H, prioritize net runs over wins, FLO fix included."
3,2017,200,2430,1273,52.38683127572017,2020-01-06 23:54:06.816683,0 days 00:00:12.089828000,"H2H, prioritize net runs over wins, FLO fix included."
4,2016,500,2428,1260,51.894563426688634,2020-01-06 23:54:18.910752,0 days 00:00:13.137810000,"H2H, prioritize net runs over wins, FLO fix included."
5,2017,500,2430,1309,53.86831275720164,2020-01-06 23:54:32.052571,0 days 00:00:12.859352000,"H2H, prioritize net runs over wins, FLO fix included."
6,2016,1000,2428,1250,51.4827018121911,2020-01-06 23:54:44.916979,0 days 00:00:13.460396000,"H2H, prioritize net runs over wins, FLO fix included."
7,2017,1000,2430,1268,52.181069958847736,2020-01-06 23:54:58.381299,0 days 00:00:12.757949000,"H2H, prioritize net runs over wins, FLO fix included."
